Position,Week1,Week2
atk,Kaydop,ZeN
atk,ZeN,Kaydop
def,Rizzo,Rizzo
def,CorruptedG,CorruptedG
mid,Lethamyr,Lethamyr
mid,Speed,Speed
actual,3329,3102
