Position,Week1,Week2
atk,Drippay,Drippay
atk,Ronaky,Ronaky
def,JSTN,JSTN
def,EyeIgnite,EyeIgnite
mid,Speed,Speed
mid,Chicago,Chicago
actual,3538,3935
